11,16,15,4,15,22,17,22
9,9,15,3,21,4,16,2
15,15,19,15,22,15,17,8
22,33,16,19,21,21,27,9
14,28,14,12,12,17,8,21
7,18,19,11,10,23,13,19
18,19,20,5,29,16,9,10
8,32,32,16,1,12,8,5
23,22,14,18,22,11,11,5
9,17,27,45,12,11,8,6
21,15,11,10,10,13,17,29
8,8,12,12,12,16,16,16
7,7,27,7,7,7,19,9
11,11,11,12,25,33,11,11
19,5,5,5,7,8,21,21
21,12,11,3,3,3,5,5
7,7,4,4,12,12,16,16
8,1,1,8,8,1,1,1
11,22,22,33,33,11,11,22
11,35,33,18,6,6,6,2
2,2,33,1,1,51,22,2
15,15,15,5,5,5,5,5
19,2,19,2,2,2,19,2
18,18,38,2,2,22,38,3
10,9,9,29,1,1,1,22
50,1,1,5,2,1,44,1
35,7,7,12,12,35,1,5
22,1,1,29,11,29,1,1
