11,14,16,1,17,12,22,7
25,15,25,12,20,10,16,25
1,24,19,5,6,2,16,10
21,25,23,8,22,15,25,23
16,3,17,11,2,9,18,5
15,19,18,16,15,11,9,16
23,9,5,19,9,19,9,25
19,6,5,2,12,12,22,24
24,15,25,2,20,14,14,6
25,10,7,13,4,17,17,4
15,18,8,5,3,15,1,16
10,21,11,9,13,2,19,17
25,1,16,1,6,3,13,25
10,13,13,14,3,7,22,14
24,23,17,15,21,1,16,15
8,18,10,22,4,5,9,13
24,23,9,13,12,18,9,11
17,13,1,22,19,16,14,14
15,7,21,1,10,20,7,1
15,3,14,15,19,22,20,19
17,1,17,20,12,24,17,17
23,17,18,19,20,17,24,1
4,2,10,15,16,16,12,22
16,2,8,22,3,10,22,17
7,9,2,19,15,17,10,20
24,5,14,17,10,17,20,4
9,6,12,22,10,16,16,22
3,18,12,3,25,21,4,14
